Country;Year;Team;GP;W;T;L;pts;gf;ga
L1;1999;Eintracht Frankfurt;34;12;5;17;39;42;44
L1;1999;Schalke 04;34;8;15;11;39;42;44
L1;1999;Hansa Rostock;34;8;14;12;38;44;60
L1;1999;SSV Ulm 1846;34;9;8;17;35;36;62
L1;1999;Arminia Bielefeld;34;7;9;18;30;40;61
L1;1999;MSV Duisburg;34;4;10;20;22;37;71
L1;1998;FC Bayern Munich;34;24;6;4;78;76;28
L1;1998;Hertha BSC;34;18;8;8;62;59;32
L1;1998;1. FC Kaiserslautern;34;17;6;11;57;51;47
L1;1998;Bayer Leverkusen;34;17;12;5;63;61;30
L1;1998;Borussia Dortmund;34;16;9;9;57;48;34
L1;1998;VfL Wolfsburg;34;15;10;9;55;54;49
L1;1998;Hamburger SV;34;13;11;10;50;47;46
L1;1998;MSV Duisburg;34;13;10;11;49;48;45
L1;1998;TSV 1860 München;34;11;8;15;41;49;56
L1;1998;SC Freiburg;34;10;9;15;39;36;44
L1;1998;Schalke 04;34;10;11;13;41;41;54
L1;1998;Werder Bremen;34;10;8;16;38;41;47
L1;1998;Eintracht Frankfurt;34;9;10;15;37;44;54
L1;1998;Hansa Rostock;34;9;11;14;38;49;58
L1;1998;VfB Stuttgart;34;9;12;13;39;41;48
L1;1998;1. FC Nürnberg;34;7;16;11;37;40;50
L1;1998;VfL Bochum;34;7;8;19;29;40;65
L1;1998;Borussia Mönchengladbach;34;4;9;21;21;41;79
L1;1997;1. FC Kaiserslautern;34;19;11;4;68;63;39
L1;1997;FC Bayern Munich;34;19;9;6;66;69;37
L1;1997;Bayer Leverkusen;34;14;13;7;55;66;39
L1;1997;Hansa Rostock;34;14;9;11;51;54;46
L1;1997;VfB Stuttgart;34;14;10;10;52;55;49
L1;1997;Werder Bremen;34;14;8;12;50;43;47
L1;1997;Schalke 04;34;13;13;8;52;38;32
L1;1997;Hertha BSC;34;12;7;15;43;41;53
L1;1997;Borussia Dortmund;34;11;10;13;43;57;55
L1;1997;Hamburger SV;34;11;11;12;44;38;46
L1;1997;MSV Duisburg;34;11;11;12;44;43;44
L1;1997;TSV 1860 München;34;11;8;15;41;43;54
L1;1997;VfL Bochum;34;11;8;15;41;41;49
L1;1997;VfL Wolfsburg;34;11;6;17;39;38;54
L1;1997;1. FC Köln;34;10;6;18;36;49;64
L1;1997;Borussia Mönchengladbach;34;9;11;14;38;54;59
L1;1997;Karlsruher SC;34;9;11;14;38;48;60
L1;1997;Arminia Bielefeld;34;8;8;18;32;43;56
L1;1996;Bayer Leverkusen;34;21;6;7;69;69;41
L1;1996;FC Bayern Munich;34;20;11;3;71;68;34
L1;1996;Borussia Dortmund;34;19;6;9;63;63;41
L1;1996;VfB Stuttgart;34;18;7;9;61;78;40
L1;1996;VfL Bochum;34;14;11;9;53;54;51
L1;1996;Werder Bremen;34;14;6;14;48;53;52
L1;1996;1. FC Köln;34;13;5;16;44;62;62
L1;1996;Karlsruher SC;34;13;10;11;49;55;44
L1;1996;TSV 1860 München;34;13;10;11;49;56;56
L1;1996;Borussia Mönchengladbach;34;12;7;15;43;46;48
L1;1996;MSV Duisburg;34;12;9;13;45;44;49
L1;1996;Arminia Bielefeld;34;11;7;16;40;46;54
L1;1996;Hansa Rostock;34;11;7;16;40;35;46
L1;1996;Schalke 04;34;11;10;13;43;35;40
L1;1996;Hamburger SV;34;10;11;13;41;46;60
L1;1996;Fortuna Düsseldorf;34;9;6;19;33;26;57
L1;1996;SC Freiburg;34;8;5;21;29;43;67
L1;1996;FC St. Pauli;34;7;6;21;27;32;69
L1;1995;Borussia Dortmund;34;19;11;4;68;76;38
L1;1995;FC Bayern Munich;34;19;5;10;62;66;46
L1;1995;Borussia Mönchengladbach;34;15;8;11;53;52;51
L1;1995;Schalke 04;34;14;14;6;56;45;36
L1;1995;Hansa Rostock;34;13;10;11;49;47;43
L1;1995;Hamburger SV;34;12;14;8;50;52;47
L1;1995;Karlsruher SC;34;12;12;10;48;53;47
L1;1995;SC Freiburg;34;11;9;14;42;30;41
L1;1995;TSV 1860 München;34;11;12;11;45;52;46
L1;1995;VfB Stuttgart;34;10;13;11;43;59;62
L1;1995;Werder Bremen;34;10;14;10;44;39;42
L1;1995;1. FC Köln;34;9;13;12;40;33;35
L1;1995;FC St. Pauli;34;9;11;14;38;43;51
L1;1995;Bayer Leverkusen;34;8;14;12;38;37;38
L1;1995;Fortuna Düsseldorf;34;8;16;10;40;40;47
L1;1995;Eintracht Frankfurt;34;7;11;16;32;43;68
L1;1995;1. FC Kaiserslautern;34;6;18;10;36;31;37
L1;1995;KFC Uerdingen;34;5;11;18;26;33;56
IT1;2013;Juventus;38;33;3;2;102;80;23
IT1;2013;Roma;38;26;7;5;85;72;25
IT1;2013;Napoli;38;23;9;6;78;77;39
IT1;2013;AFC Fiorentina;38;19;8;11;65;65;44
IT1;2013;Inter Milan;38;15;15;8;60;62;39
IT1;2013;Parma F.C.;38;15;13;10;58;58;46
IT1;2013;AC Milan;38;16;9;13;57;57;49
IT1;2013;Torino FC;38;15;12;11;57;58;48
IT1;2013;Lazio;38;15;11;12;56;54;54
IT1;2013;Verona;38;16;6;16;54;62;68
IT1;2013;Atalanta;38;15;5;18;50;43;51
IT1;2013;Sampdoria;38;12;9;17;45;48;62
IT1;2013;Udinese;38;12;8;18;44;46;57
IT1;2013;Genoa;38;11;11;16;44;41;50
IT1;2013;Cagliari;38;9;12;17;39;34;53
IT1;2013;Chievo;38;10;6;22;36;34;54
IT1;2013;US Sassuolo;38;9;7;22;34;43;72
IT1;2013;Catania;38;8;8;22;32;34;66
IT1;2013;Bologna;38;5;14;19;29;28;58
IT1;2013;Livorno;38;6;7;25;25;39;77
IT1;2012;Juventus;38;27;6;5;87;71;24
IT1;2012;Napoli;38;23;9;6;78;73;36
IT1;2012;AC Milan;38;21;9;8;72;67;39
IT1;2012;AFC Fiorentina;38;21;7;10;70;72;44
IT1;2012;Udinese;38;18;12;8;66;59;45
IT1;2012;Roma;38;18;8;12;62;71;56
IT1;2012;Lazio;38;18;7;13;61;51;42
IT1;2012;Catania;38;15;11;12;56;50;46
IT1;2012;Inter Milan;38;16;6;16;54;55;57
IT1;2012;Parma F.C.;38;13;10;15;49;45;46
IT1;2012;Cagliari;38;12;11;15;47;43;55
IT1;2012;Chievo;38;12;9;17;45;37;52
IT1;2012;Bologna;38;11;11;16;44;46;52
IT1;2012;Sampdoria;38;11;10;17;42;43;51
IT1;2012;Atalanta;38;11;9;18;40;39;56
IT1;2012;Torino FC;38;8;16;14;39;46;55
IT1;2012;Genoa;38;8;14;16;38;38;52
IT1;2012;Palermo;38;6;14;18;32;34;54
IT1;2012;Siena;38;9;9;20;30;36;57
IT1;2012;Pescara;38;6;4;28;22;27;84
IT1;2011;Juventus;38;23;15;0;84;68;20
IT1;2011;AC Milan;38;24;8;6;80;74;33
IT1;2011;Udinese;38;18;10;10;64;52;35
IT1;2011;Lazio;38;18;8;12;62;56;47
IT1;2011;Napoli;38;16;13;9;61;66;46
IT1;2011;Inter Milan;38;17;7;14;58;58;55
IT1;2011;Roma;38;16;8;14;56;60;54
IT1;2011;Parma F.C.;38;15;11;12;56;54;53
IT1;2011;Bologna;38;13;12;13;51;41;43
IT1;2011;Chievo;38;12;13;13;49;35;45
IT1;2011;Catania;38;11;15;12;48;47;52
IT1;2011;Atalanta;38;13;13;12;46;41;43
IT1;2011;AFC Fiorentina;38;11;13;14;46;37;43
IT1;2011;Siena;38;11;11;16;44;45;45
IT1;2011;Palermo;38;11;10;17;43;52;62
IT1;2011;Cagliari;38;10;13;15;43;37;46
IT1;2011;Genoa;38;11;9;18;42;50;69
IT1;2011;Lecce;38;8;12;18;36;40;56
IT1;2011;Novara;38;7;11;20;32;35;65
IT1;2011;Cesena;38;4;10;24;22;24;60
IT1;2010;AC Milan;38;24;10;4;82;65;24
IT1;2010;Inter Milan;38;23;7;8;76;69;42
IT1;2010;Napoli;38;21;7;10;70;59;39
IT1;2010;Lazio;38;20;6;12;66;55;39
IT1;2010;Udinese;38;20;6;12;66;65;43
IT1;2010;Roma;38;18;9;11;63;59;52
IT1;2010;Juventus;38;15;13;10;58;57;47
IT1;2010;Palermo;38;17;5;16;56;58;63
IT1;2010;Genoa;38;14;9;15;51;45;47
IT1;2010;AFC Fiorentina;38;12;15;11;51;49;44
IT1;2010;Catania;38;12;10;16;46;40;52
IT1;2010;Chievo;38;11;13;14;46;38;40
IT1;2010;Parma F.C.;38;11;13;14;46;39;47
IT1;2010;Cagliari;38;12;9;17;45;44;51
IT1;2010;Cesena;38;11;10;17;43;38;50
IT1;2010;Bologna;38;11;12;15;41;35;52
IT1;2010;Lecce;38;11;8;19;41;46;66
IT1;2010;Sampdoria;38;8;12;18;36;33;49
IT1;2010;Brescia Calcio;38;7;11;20;32;34;52
IT1;2010;Bari;38;5;9;24;24;27;56
IT1;2009;Inter Milan;38;24;10;4;82;75;34
IT1;2009;Roma;38;24;8;6;80;68;41
IT1;2009;AC Milan;38;20;10;8;70;60;39
IT1;2009;Sampdoria;38;19;10;9;67;49;41
IT1;2009;Palermo;38;18;11;9;65;59;47
IT1;2009;Napoli;38;15;14;9;59;50;43
IT1;2009;Juventus;38;16;7;15;55;55;56
IT1;2009;Parma F.C.;38;14;10;14;52;46;51
IT1;2009;Genoa;38;14;9;15;51;57;61
IT1;2009;Bari;38;13;11;14;50;49;49
IT1;2009;AFC Fiorentina;38;13;8;17;47;48;47
IT1;2009;Lazio;38;11;13;14;46;39;43
IT1;2009;Catania;38;10;15;13;45;44;45
IT1;2009;Chievo;38;12;8;18;44;37;42
IT1;2009;Cagliari;38;11;11;16;44;56;58
IT1;2009;Udinese;38;11;11;16;44;54;59
IT1;2009;Bologna;38;10;12;16;42;42;55
IT1;2009;Atalanta;38;9;8;21;35;37;53
IT1;2009;Siena;38;7;10;21;31;40;67
IT1;2009;Livorno;38;7;8;23;29;27;61
IT1;2008;Inter Milan;38;25;9;4;84;70;32
IT1;2008;AC Milan;38;22;8;8;74;70;35
IT1;2008;Juventus;38;21;11;6;74;69;37
IT1;2008;AFC Fiorentina;38;21;5;12;68;53;38
IT1;2008;Genoa;38;19;11;8;68;56;39
IT1;2008;Roma;38;18;9;11;63;64;61
IT1;2008;Udinese;38;16;10;12;58;61;50
IT1;2008;Palermo;38;17;6;15;57;57;50
IT1;2008;Cagliari;38;15;8;15;53;49;50
IT1;2008;Lazio;38;15;5;18;50;46;55
IT1;2008;Atalanta;38;13;8;17;47;45;48
IT1;2008;Napoli;38;12;10;16;46;43;45
IT1;2008;Sampdoria;38;11;13;14;46;49;52
IT1;2008;Siena;38;12;8;18;44;33;44
IT1;2008;Catania;38;12;7;19;43;41;51
IT1;2008;Chievo;38;8;14;16;38;35;49
IT1;2008;Bologna;38;9;10;19;37;43;62
IT1;2008;Torino FC;38;8;10;20;34;37;61
IT1;2008;Reggina Calcio;38;6;13;19;31;30;62
IT1;2008;Lecce;38;5;15;18;30;37;67
IT1;2007;Inter Milan;38;25;10;3;85;69;26
IT1;2007;Roma;38;24;10;4;82;72;37
IT1;2007;Juventus;38;20;12;6;72;72;37
IT1;2007;AFC Fiorentina;38;19;9;10;66;55;39
IT1;2007;AC Milan;38;18;10;10;64;66;38
IT1;2007;Sampdoria;38;17;9;12;60;56;46
IT1;2007;Udinese;38;16;9;13;57;48;53
IT1;2007;Napoli;38;14;8;16;50;50;53
IT1;2007;Genoa;38;13;9;16;48;44;52
IT1;2007;Atalanta;38;12;12;14;48;52;56
IT1;2007;Palermo;38;12;11;15;47;47;57
IT1;2007;Lazio;38;11;13;14;46;47;51
IT1;2007;Siena;38;9;17;12;44;40;45
IT1;2007;Cagliari;38;11;9;18;42;40;56
IT1;2007;Reggina Calcio;38;9;13;16;40;37;56
IT1;2007;Torino FC;38;8;16;14;40;36;49
IT1;2007;Catania;38;8;13;17;37;33;45
IT1;2007;Empoli;38;9;9;20;36;29;52
IT1;2007;Parma F.C.;38;7;13;18;34;42;62
IT1;2007;Livorno;38;6;12;20;30;35;60
IT1;2006;Inter Milan;38;30;7;1;97;80;34
IT1;2006;Roma;38;22;9;7;75;74;34
IT1;2006;Lazio;38;18;11;9;62;59;33
IT1;2006;AC Milan;38;19;12;7;61;57;36
IT1;2006;AFC Fiorentina;38;21;10;7;58;62;31
IT1;2006;Palermo;38;16;10;12;58;58;51
IT1;2006;Empoli;38;14;12;12;54;42;43
IT1;2006;Atalanta;38;12;14;12;50;56;54
IT1;2006;Sampdoria;38;13;10;15;49;44;48
IT1;2006;Udinese;38;12;10;16;46;49;55
IT1;2006;Livorno;38;10;13;15;43;41;54
IT1;2006;Parma F.C.;38;10;12;16;42;41;56
IT1;2006;Catania;38;10;11;17;41;46;68
IT1;2006;Reggina Calcio;38;12;15;11;40;52;50
IT1;2006;Torino FC;38;10;10;18;40;27;47
IT1;2006;Cagliari;38;9;13;16;40;35;46
IT1;2006;Siena;38;9;14;15;40;35;45
IT1;2006;Chievo;38;9;12;17;39;38;48
IT1;2006;Ascoli;38;5;12;21;27;36;67
IT1;2006;Messina;38;5;11;22;26;37;69
IT1;2005;Juventus;38;27;10;1;91;71;24
IT1;2005;Inter Milan;38;23;7;8;76;68;30
IT1;2005;Roma;38;19;12;7;69;70;42
IT1;2005;AC Milan;38;28;4;6;58;85;31
IT1;2005;Chievo;38;13;15;10;54;54;49
IT1;2005;Palermo;38;13;13;12;52;50;52
IT1;2005;Livorno;38;12;13;13;49;37;44
IT1;2005;Empoli;38;13;6;19;45;47;61
IT1;2005;Parma F.C.;38;12;9;17;45;46;60
IT1;2005;AFC Fiorentina;38;22;8;8;44;66;41
IT1;2005;Udinese;38;11;10;17;43;40;54
IT1;2005;Ascoli;38;9;16;13;43;43;53
IT1;2005;Reggina Calcio;38;11;8;19;41;39;65
IT1;2005;Sampdoria;38;10;11;17;41;47;51
IT1;2005;Siena;38;9;12;17;39;42;60
IT1;2005;Cagliari;38;8;15;15;39;42;55
IT1;2005;Lazio;38;16;14;8;32;57;47
IT1;2005;Messina;38;6;13;19;31;33;59
IT1;2005;Lecce;38;7;8;23;29;30;57
IT1;2005;Treviso;38;3;12;23;21;24;56
IT1;2004;Juventus;38;26;8;4;86;67;27
IT1;2004;AC Milan;38;23;10;5;79;63;28
IT1;2004;Inter Milan;38;18;18;2;72;65;37
IT1;2004;Udinese;38;17;11;10;62;56;40
IT1;2004;Sampdoria;38;17;10;11;61;42;29
IT1;2004;Palermo;38;12;17;9;53;48;44
IT1;2004;Messina;38;12;12;14;48;44;52
IT1;2004;Livorno;38;11;12;15;45;49;60
IT1;2004;Roma;38;11;12;15;45;55;58
IT1;2004;Lazio;38;11;11;16;44;48;53
IT1;2004;Cagliari;38;10;14;14;44;51;60
IT1;2004;Lecce;38;10;14;14;44;66;73
IT1;2004;Reggina Calcio;38;10;14;14;44;36;45
IT1;2004;Chievo;38;11;10;17;43;32;49
IT1;2004;Siena;38;9;16;13;43;44;55
IT1;2004;Parma F.C.;38;10;12;16;42;48;65
IT1;2004;AFC Fiorentina;38;9;15;14;42;42;50
IT1;2004;Bologna;38;9;15;14;42;33;36
IT1;2004;Brescia Calcio;38;11;8;19;41;37;54
IT1;2004;Atalanta;38;8;11;19;35;34;45
IT1;2003;AC Milan;34;25;7;2;82;65;24
IT1;2003;Roma;34;21;8;5;71;68;19
IT1;2003;Juventus;34;21;6;7;69;67;42
IT1;2003;Inter Milan;34;17;8;9;59;59;37
IT1;2003;Parma F.C.;34;16;10;8;58;57;46
IT1;2003;Lazio;34;16;8;10;56;52;38
IT1;2003;Udinese;34;13;11;10;50;44;40
IT1;2003;Sampdoria;34;11;13;10;46;40;42
IT1;2003;Chievo;34;11;11;12;44;36;37
IT1;2003;Lecce;34;11;8;15;41;43;56
IT1;2003;Brescia Calcio;34;9;13;12;40;52;57
IT1;2003;Bologna;34;10;9;15;39;45;53
IT1;2003;Siena;34;8;10;16;34;41;54
IT1;2003;Reggina Calcio;34;6;16;12;34;29;45
IT1;2003;Perugia;34;6;14;14;32;44;56
IT1;2003;Empoli;34;7;9;18;30;26;54
IT1;2003;Modena F.C.;34;6;12;16;30;27;46
IT1;2003;Ancona;34;2;7;25;13;21;70
IT1;2002;Juventus;34;21;9;4;72;64;29
IT1;2002;Inter Milan;34;19;8;7;65;64;38
IT1;2002;AC Milan;34;18;7;9;61;55;30
IT1;2002;Lazio;34;15;15;4;60;57;32
IT1;2002;Udinese;34;16;8;10;56;38;35
IT1;2002;Parma F.C.;34;15;11;8;56;55;36
IT1;2002;Chievo;34;16;7;11;55;51;39
IT1;2002;Roma;34;13;10;11;49;55;46
IT1;2002;Perugia;34;10;12;12;42;40;48
IT1;2002;Brescia Calcio;34;9;15;10;42;36;38
IT1;2002;Bologna;34;10;11;13;41;39;47
IT1;2002;Reggina Calcio;34;10;8;16;38;38;53
IT1;2002;Empoli;34;9;11;14;38;36;46
IT1;2002;Modena F.C.;34;9;11;14;38;30;48
IT1;2002;Atalanta;34;8;14;12;38;35;47
IT1;2002;Piacenza;34;8;6;20;30;44;62
IT1;2002;Como;34;4;12;18;24;29;57
IT1;2002;Torino FC;34;4;9;21;21;23;58
IT1;2001;Juventus;34;20;11;3;71;64;23
IT1;2001;Roma;34;19;13;2;70;58;24
IT1;2001;Inter Milan;34;20;9;5;69;62;35
IT1;2001;AC Milan;34;14;13;7;55;47;33
IT1;2001;Chievo;34;14;12;8;54;57;52
IT1;2001;Lazio;34;14;11;9;53;50;37
IT1;2001;Bologna;34;15;7;12;52;40;40
IT1;2001;Perugia;34;13;7;14;46;38;46
IT1;2001;Atalanta;34;12;9;13;45;41;50
IT1;2001;Parma F.C.;34;12;8;14;44;43;47
IT1;2001;Torino FC;34;10;13;11;43;37;39
IT1;2001;Piacenza;34;11;9;14;42;49;43
IT1;2001;Udinese;34;11;7;16;40;41;52
IT1;2001;Brescia Calcio;34;9;13;12;40;43;52
IT1;2001;Verona;34;11;6;17;39;41;53
IT1;2001;Lecce;34;6;10;18;28;36;56
IT1;2001;AFC Fiorentina;34;5;7;22;22;29;63
IT1;2001;Venezia;34;3;9;22;18;30;61
IT1;2000;Roma;34;22;9;3;75;68;33
IT1;2000;Juventus;34;21;10;3;73;61;27
IT1;2000;Lazio;34;21;6;7;69;65;36
IT1;2000;Parma F.C.;34;16;8;10;56;51;31
IT1;2000;Inter Milan;34;14;9;11;51;47;47
IT1;2000;AC Milan;34;12;13;9;49;56;46
IT1;2000;Atalanta;34;10;14;10;44;38;34
IT1;2000;Brescia Calcio;34;10;14;10;44;44;42
IT1;2000;Bologna;34;11;10;13;43;49;53
IT1;2000;AFC Fiorentina;34;10;13;11;43;53;52
IT1;2000;Perugia;34;10;12;12;42;49;53
IT1;2000;Udinese;34;11;5;18;38;49;59
IT1;2000;Reggina Calcio;34;10;7;17;37;32;49
IT1;2000;Verona;34;10;7;17;37;40;59
IT1;2000;Lecce;34;8;13;13;37;40;54
IT1;2000;Vicenza Calcio;34;9;9;16;36;37;51
IT1;2000;Napoli;34;8;12;14;36;35;51
IT1;2000;Bari;34;5;5;24;20;31;68
IT1;1999;Lazio;34;21;9;4;72;64;33
IT1;1999;Juventus;34;21;8;5;71;46;20
IT1;1999;AC Milan;34;16;13;5;60;65;40
IT1;1999;Inter Milan;34;17;7;10;58;58;36
IT1;1999;Parma F.C.;34;16;10;8;58;52;37
IT1;1999;Roma;34;14;10;8;54;57;34
IT1;1999;AFC Fiorentina;34;13;12;9;51;48;38
IT1;1999;Udinese;34;13;11;10;50;55;45
IT1;1999;Verona;34;10;13;11;43;40;45
IT1;1999;Perugia;34;12;6;16;42;36;52
IT1;1999;Lecce;34;10;10;14;40;33;49
IT1;1999;Bologna;34;9;13;12;40;32;39
IT1;1999;Reggina Calcio;34;9;13;12;40;31;42
IT1;1999;Bari;34;10;9;15;39;34;48
IT1;1999;Torino FC;34;8;12;14;36;35;47
IT1;1999;Venezia;34;6;8;20;26;30;60
IT1;1999;Cagliari;34;3;13;18;22;29;54
IT1;1999;Piacenza;34;4;9;21;21;19;45
IT1;1998;AC Milan;34;20;10;4;70;59;34
IT1;1998;Lazio;34;20;9;5;69;65;31
IT1;1998;AFC Fiorentina;34;16;8;10;56;55;41
IT1;1998;Parma F.C.;34;15;10;9;55;55;36
IT1;1998;Udinese;34;16;6;12;54;52;52
IT1;1998;Juventus;34;15;9;10;54;42;36
IT1;1998;Roma;34;15;9;10;54;69;49
IT1;1998;Inter Milan;34;13;7;14;46;59;54
IT1;1998;Bologna;34;11;11;12;44;44;47
IT1;1998;Venezia;34;11;9;14;42;38;45
IT1;1998;Bari;34;9;15;10;42;39;44
IT1;1998;Cagliari;34;11;8;15;41;49;50
IT1;1998;Piacenza;34;11;8;15;41;48;49
IT1;1998;Perugia;34;11;6;17;39;43;61
IT1;1998;Salernitana;34;10;8;16;38;37;51
IT1;1998;Sampdoria;34;9;10;15;37;38;55
IT1;1998;Vicenza Calcio;34;8;9;17;33;27;47
IT1;1998;Empoli;34;4;10;20;20;26;63
IT1;1997;Juventus;34;21;11;2;74;67;28
IT1;1997;Inter Milan;34;21;6;7;69;62;27
IT1;1997;Udinese;34;19;7;8;64;62;40
IT1;1997;Roma;34;16;11;7;59;67;42
IT1;1997;AFC Fiorentina;34;15;12;7;57;65;36
IT1;1997;Parma F.C.;34;15;12;7;57;55;39
IT1;1997;Lazio;34;16;8;10;56;53;30
IT1;1997;Sampdoria;34;13;9;12;48;52;55
IT1;1997;Bologna;34;12;12;10;48;55;46
IT1;1997;AC Milan;34;11;11;12;44;37;43
IT1;1997;Bari;34;10;8;16;38;30;45
IT1;1997;Empoli;34;10;7;17;37;50;58
IT1;1997;Piacenza;34;7;16;11;37;29;38
IT1;1997;Vicenza Calcio;34;9;9;16;36;36;61
IT1;1997;Brescia Calcio;34;9;8;17;35;45;63
IT1;1997;Atalanta;34;7;11;16;32;25;48
IT1;1997;Lecce;34;6;8;20;26;32;72
IT1;1997;Napoli;34;2;8;24;14;25;76
IT1;1996;Juventus;34;17;14;3;65;51;24
IT1;1996;Parma F.C.;34;18;9;7;63;41;26
IT1;1996;Inter Milan;34;15;14;5;59;51;35
IT1;1996;Lazio;34;15;10;9;55;54;37
IT1;1996;Udinese;34;15;9;10;54;53;41
IT1;1996;Sampdoria;34;14;11;9;53;60;46
IT1;1996;Bologna;34;13;10;11;49;50;44
IT1;1996;Vicenza Calcio;34;12;11;11;47;43;38
IT1;1996;AFC Fiorentina;34;10;15;9;45;46;41
IT1;1996;Atalanta;34;11;11;12;44;44;46
IT1;1996;AC Milan;34;11;10;13;43;43;45
IT1;1996;Roma;34;10;11;13;41;46;47
IT1;1996;Napoli;34;9;14;11;41;38;45
IT1;1996;Perugia;34;10;7;17;37;48;62
IT1;1996;Cagliari;34;9;10;15;37;45;55
IT1;1996;Piacenza;34;7;16;11;37;29;45
IT1;1996;Verona;34;6;9;19;27;38;64
IT1;1996;AC Reggiana 1919;34;2;13;19;19;28;67
FR1;2013;Paris Saint-Germain;38;27;8;3;89;84;23
FR1;2013;Monaco;38;23;11;4;80;64;31
FR1;2013;Lille OSC;38;20;11;7;71;46;26
FR1;2013;Saint-Étienne;38;20;9;9;69;56;34
FR1;2013;Lyon;38;17;10;11;61;56;44
FR1;2013;Marseille;38;16;12;10;60;53;40
FR1;2013;Bordeaux;38;13;14;11;53;49;43
FR1;2013;Bastia;38;13;10;15;49;42;56
FR1;2013;FC Lorient;38;13;10;15;49;48;53
FR1;2013;Toulouse;38;12;13;13;49;46;53
FR1;2013;Reims;38;12;12;14;48;44;52
FR1;2013;Nantes;38;12;10;16;46;38;43
FR1;2013;Rennes;38;11;13;14;46;47;45
FR1;2013;Evian TG;38;11;11;16;44;39;51
FR1;2013;OGC Nice;38;12;6;20;42;30;44
FR1;2013;Guingamp;38;11;9;18;42;34;42
FR1;2013;Montpellier Herault SC;38;8;18;12;42;45;53
FR1;2013;FC Sochaux;38;10;10;18;40;37;61
FR1;2013;Valenciennes FC;38;7;8;23;29;37;65
FR1;2013;Ajaccio;38;4;11;23;23;37;72
FR1;2012;Paris Saint-Germain;38;25;8;5;83;69;23
FR1;2012;Marseille;38;21;8;9;71;42;36
FR1;2012;Lyon;38;19;10;9;67;61;38
FR1;2012;OGC Nice;38;18;10;10;64;57;46
FR1;2012;Saint-Étienne;38;16;15;7;63;60;32
FR1;2012;Lille OSC;38;16;14;8;62;59;40
FR1;2012;Bordeaux;38;13;16;9;55;40;34
FR1;2012;FC Lorient;38;14;11;13;53;57;58
FR1;2012;Montpellier Herault SC;38;15;7;16;52;54;51
FR1;2012;Toulouse;38;13;12;13;51;49;47
FR1;2012;Valenciennes FC;38;12;12;14;48;49;53
FR1;2012;Bastia;38;13;8;17;47;50;66
FR1;2012;Rennes;38;13;7;18;46;48;59
FR1;2012;Reims;38;10;13;15;43;33;42
FR1;2012;FC Sochaux;38;10;11;17;41;41;57
FR1;2012;Evian TG;38;10;10;18;40;46;53
FR1;2012;Ajaccio;38;9;15;14;40;39;51
FR1;2012;AS Nancy;38;9;11;18;38;38;58
FR1;2012;Troyes;38;8;13;17;37;43;61
FR1;2012;Brest;38;8;5;25;29;32;62
FR1;2011;Montpellier Herault SC;38;25;7;6;82;68;34
FR1;2011;Paris Saint-Germain;38;23;10;5;79;75;41
FR1;2011;Lille OSC;38;21;11;6;74;72;39
FR1;2011;Lyon;38;19;7;12;64;64;51
FR1;2011;Bordeaux;38;16;13;9;61;53;41
FR1;2011;Rennes;38;17;9;12;60;53;44
FR1;2011;Saint-Étienne;38;16;9;13;57;49;45
FR1;2011;Toulouse;38;15;11;12;56;37;34
FR1;2011;Evian TG;38;13;11;14;50;54;55
FR1;2011;Marseille;38;12;12;14;48;45;41
FR1;2011;AS Nancy;38;11;12;15;45;38;48
FR1;2011;Valenciennes FC;38;12;7;19;43;40;50
FR1;2011;FC Sochaux;38;11;9;18;42;40;60
FR1;2011;OGC Nice;38;10;12;16;42;39;46
FR1;2011;Ajaccio;38;9;14;15;41;40;61
FR1;2011;Brest;38;8;17;13;41;31;38
FR1;2011;FC Lorient;38;9;12;17;39;35;49
FR1;2011;Caen;38;9;11;18;38;39;59
FR1;2011;Dijon FCO;38;9;9;20;36;38;63
FR1;2011;Auxerre;38;7;13;18;34;46;57
FR1;2010;Lille OSC;38;21;13;4;76;68;36
FR1;2010;Marseille;38;18;14;6;68;62;39
FR1;2010;Lyon;38;17;13;8;64;61;40
FR1;2010;Paris Saint-Germain;38;15;15;8;60;56;41
FR1;2010;FC Sochaux;38;17;7;14;58;60;43
FR1;2010;Rennes;38;15;11;12;56;38;35
FR1;2010;Bordeaux;38;12;15;11;51;43;42
FR1;2010;Toulouse;38;14;8;16;50;38;36
FR1;2010;FC Lorient;38;12;13;13;49;46;48
FR1;2010;Saint-Étienne;38;12;13;13;49;46;47
FR1;2010;Auxerre;38;10;19;9;49;45;41
FR1;2010;AS Nancy;38;13;9;16;48;43;48
FR1;2010;Valenciennes FC;38;10;18;10;48;45;41
FR1;2010;Montpellier Herault SC;38;12;11;15;47;32;43
FR1;2010;Brest;38;11;13;14;46;36;43
FR1;2010;Caen;38;11;13;14;46;46;51
FR1;2010;OGC Nice;38;11;13;14;46;33;48
FR1;2010;Monaco;38;9;17;12;44;36;40
FR1;2010;Lens;38;7;14;17;35;35;58
FR1;2010;Arles-Avignon;38;3;11;24;20;21;70
FR1;2009;Marseille;38;23;9;6;78;69;36
FR1;2009;Lyon;38;20;12;6;72;64;38
FR1;2009;Auxerre;38;20;11;7;71;42;29
FR1;2009;Lille OSC;38;21;7;10;70;72;40
FR1;2009;Montpellier Herault SC;38;20;9;9;69;50;40
FR1;2009;Bordeaux;38;19;7;12;64;58;40
